elevation,point_id,slope,longitude,latitude,clay,land_cover,annual_rainfall,NDVI,sand,silt,soc,K,LS,C,P,R,soil_loss
552,1,24.07530975341797,75.42723323953368,22.352149573317604,30,10,1298.9653347118108,0.44427216053009033,47,23,3,0.02878052987461982,2.6153213229791055,0.20212197112889888,1,550.5244165003874,8.375561853963665
254,2,1.8543341159820557,75.43208414206791,22.30148459129326,33,40,1301.5499541205954,0.329653263092041,37,30,5,0.030478826972860935,0.6643390891346169,0.373988363100829,1,551.4626333457761,4.176016774945346
254,3,6.268939971923828,75.40351771603292,22.29366924832142,35,30,1079.1490611465028,0.18201285600662231,39,26,6,0.027530992028471493,1.1270420343083019,0.640807485345593,1,470.7311091961805,9.359711256821605
538,4,14.552468299865723,75.44825381718206,22.32250516894166,29,30,1301.5499541205954,0.3019467294216156,45,26,2,0.03163942268322379,1.8881308842499642,0.4210048812949381,1,551.4626333457761,13.869597825456202
256,5,2.1075828075408936,75.35985959322471,22.30148459129326,34,40,1318.9028146396367,0.6536953449249268,40,26,4,0.029554558044904502,0.6992720637868365,0.022931089518190843,1,557.7617217141881,0.26432853164124503
573,6,3.1449227333068848,75.39462439472013,22.344334230345765,34,40,1318.9028146396367,0.16501207649707794,41,25,4,0.02900491116713541,0.8208664744219382,0.6735155312141978,1,557.7617217141881,8.944176883421832
585,7,2.1077449321746826,75.39812782432818,22.34891563829477,30,50,1318.9028146396367,0.15653926134109497,44,26,3,0.030435376949588727,0.6992935991585665,0.6899174825850205,1,557.7617217141881,8.19000362865002
348,8,17.32867431640625,75.40082277018055,22.30148459129326,27,10,1301.5499541205954,0.446153849363327,46,27,5,0.028521598619468166,2.108430489672775,0.19966563588969605,1,551.4626333457761,6.621441823101573
612,9,16.106948852539062,75.35500869069045,22.321966179771188,32,10,1318.9028146396367,0.3278743326663971,43,25,4,0.02885863158027226,2.0127166151010254,0.3769532826669991,1,557.7617217141881,12.212219490971695
555,10,30.140380859375,75.38492258965164,22.32870354440208,32,30,1318.9028146396367,0.3710879385471344,42,26,2,0.03184961282574046,2.797927758284625,0.30724959837095706,1,557.7617217141881,15.271464400036225
422,11,22.62581443786621,75.43693504460217,22.31819325557789,31,10,1301.5499541205954,0.4592541456222534,43,26,4,0.02932834223269267,2.508441367770833,0.18294034545846355,1,551.4626333457761,7.421933434069814
249,12,0.0,75.41456699402758,22.29313025915095,35,40,1079.1490611465028,0.5692307949066162,37,28,5,0.029610222174423502,0.16531147321376102,0.07115765151620482,1,470.7311091961805,0.1639604754273383
225,13,1.8543341159820557,75.3900429867711,22.282350475741517,38,30,1113.5601229445556,0.22038057446479797,35,27,2,0.033040813608461624,0.6643390891346169,0.5681588457015962,1,483.22232462887365,6.026390954958265
228,14,2.9549081325531006,75.44501988215924,22.292860764565717,36,40,1079.1490611465028,0.49839791655540466,37,27,3,0.0315032031780126,0.8006185498120232,0.13707538239473974,1,470.7311091961805,1.6274690151575164
223,15,0.9274099469184875,75.4417859471364,22.287470872861,39,30,1079.1490611465028,0.27861276268959045,33,28,2,0.033781038084664504,0.5034748895187708,0.46188650699164724,1,470.7311091961805,3.6979325247223915
405,16,10.00235652923584,75.43855201211358,22.354575024584726,36,30,1298.9653347118108,0.22624316811561584,36,28,3,0.03208346920728807,1.4972986068926837,0.557222089634572,1,550.5244165003874,14.736510337220471
262,17,11.67883586883545,75.37090887121937,22.2950167212476,34,30,1113.5601229445556,0.38724371790885925,40,26,3,0.03073792932539105,1.6468911381848197,0.28253850823677734,1,483.22232462887365,6.911369918774105
395,18,12.934466361999512,75.3733343224865,22.351880078732364,31,30,1300.6844911000983,0.2577873170375824,40,29,2,0.033511166286727415,1.7543247286375425,0.49925144576133457,1,551.1484702693357,16.176608147300406
490,19,27.73301887512207,75.40513468354433,22.35969542170421,33,30,1298.9653347118108,0.330972820520401,38,29,3,0.032351375955419405,2.797927758284625,0.37179406348537436,1,550.5244165003874,18.527136015748646
275,20,4.409607887268066,75.43100616372698,22.30741347216845,32,30,1301.5499541205954,0.3219797909259796,42,26,4,0.029398418583570066,0.940063940774106,0.3868320791756356,1,551.4626333457761,5.89549039053459
302,21,2.1075761318206787,75.37522078458315,22.299328634611378,29,30,1113.5601229445556,0.2360268235206604,43,28,3,0.031465490695431426,0.6992711770150066,0.5390791032511381,1,483.22232462887365,5.731649490098329
237,22,2.1075477600097656,75.38276663296975,22.2912437970543,34,40,1113.5601229445556,0.35742971301078796,40,26,3,0.03073792932539105,0.6992674082159959,0.3287361020251896,1,483.22232462887365,3.4143833983874856
583,23,3.837376832962036,75.39058197594159,22.358347948778025,32,40,1300.6844911000983,0.5589303374290466,43,25,3,0.03001413780555057,0.8890531803652713,0.07930682322768104,1,551.1484702693357,1.1663604163476062
492,24,27.74224281311035,75.38627006257781,22.317115277236944,33,10,1318.9028146396367,0.44047170877456665,40,27,4,0.03001808801227943,2.797927758284625,0.20712362238552215,1,557.7617217141881,9.70281749142487
520,25,19.812198638916016,75.3515052610824,22.35484451916996,26,10,1300.6844911000983,0.6084854602813721,47,27,4,0.029569627499412793,2.2984023406382112,0.044673843034350326,1,551.1484702693357,1.6733771297321358
555,26,10.426633834838867,75.4334316149941,22.337057876544392,32,10,1301.5499541205954,0.48280802369117737,43,25,3,0.03001413780555057,1.535911800468228,0.15458115942803782,1,551.4626333457761,3.9297488907204756
359,27,8.140715599060059,75.44501988215924,22.352149573317604,36,30,1298.9653347118108,0.45649778842926025,37,27,2,0.03281593356923771,1.3205055304342699,0.18640420235555674,1,550.5244165003874,4.446899070679869
414,28,16.561105728149414,75.37414280624222,22.356461486681376,33,10,1300.6844911000983,0.3205837905406952,40,27,3,0.031220019138939386,2.048501254491233,0.3891837484516073,1,551.1484702693357,13.718060133114655
492,29,9.644988059997559,75.41187204817521,22.324930620208782,36,10,1301.5499541205954,0.5960923433303833,37,27,3,0.0315032031780126,1.46433243276387,0.05225462602308242,1,551.4626333457761,1.3293374195027539
397,30,3.426008939743042,75.37737674126504,22.36373784048275,31,40,1300.6844911000983,0.5587786436080933,42,27,3,0.03105862647148713,0.8495257614132182,0.07943055558715893,1,551.1484702693357,1.1550878229030548
217,31,1.365343689918518,75.3989363080839,22.278577551548217,37,40,1113.5601229445556,0.6128654479980469,35,28,2,0.03353500120108293,0.5877378025690637,0.042165096932744096,1,483.22232462887365,0.40158921822004123
220,32,2.9548933506011963,75.42750273411892,22.286662389105288,37,40,1079.1490611465028,0.412367582321167,35,28,3,0.03219350606569237,0.800616944925089,0.2457382827022392,1,470.7311091961805,2.981527185543384
215,33,2.1075098514556885,75.44825381718206,22.279925024474394,37,40,1079.1490611465028,0.5681745409965515,38,25,3,0.03043568169843624,0.6992623725464497,0.07197036115602337,1,470.7311091961805,0.7210240905415201
393,34,12.68387508392334,75.38034118170262,22.333554446936333,31,30,1318.9028146396367,0.4373249411582947,42,27,3,0.03105862647148713,1.7331579517612912,0.21130570503222926,1,557.7617217141881,6.344250439986804
575,35,2.7298455238342285,75.40971609149335,22.345951197857175,29,10,1301.5499541205954,0.6002978086471558,43,28,4,0.030254109225286912,0.7756051599373968,0.04960193758915972,1,551.4626333457761,0.6418592319048243
566,36,2.729912757873535,75.42642475577796,22.352149573317604,31,10,1298.9653347118108,0.45151257514953613,45,24,2,0.030614290023118454,0.775612812485396,0.19274413176565613,1,550.5244165003874,2.519572830844788
